Year,Month,Day,Hour,Minute,Second,Temp(Sensor),Temp(WC),Hum(Sensor),Hum(WC),BatteryLevel,BatteryCharging,CloudForecast
2017,3,4,10,23,19,9.00,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,24,20,9.00,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,25,22,9.00,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,26,23,9.00,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,27,24,9.00,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,28,26,9.00,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,29,27,9.00,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,30,29,9.00,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,31,30,9.00,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,32,32,9.00,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,33,33,8.90,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,34,35,9.00,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,35,36,9.00,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,36,38,9.00,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,37,39,8.90,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,38,41,8.90,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,39,42,9.00,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,40,44,9.00,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,41,45,8.90,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,42,46,9.00,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,43,48,9.00,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,44,49,8.90,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,45,51,8.90,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,46,52,8.90,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,47,54,8.90,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,48,55,8.90,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,49,57,8.90,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,50,58,8.90,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,52,0,8.90,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,53,1,8.90,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,54,3,8.90,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,55,4,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,56,5,8.90,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,57,7,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,58,8,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,10,59,10,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,0,11,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,1,13,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,2,14,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,3,16,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,4,17,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,5,19,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,6,20,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,7,22,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,8,23,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,9,24,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,10,26,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,11,27,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,12,29,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

2017,3,4,11,13,30,8.80,8.166666666666668,99.90,96,0.93,true,ERROR

